"","ds","yhat","yhat_lower","yhat_upper"
"1",2019-05-15 00:00:00,1.58280724827729,-0.262189871275097,3.39486150192418
"2",2019-05-15 01:00:00,1.34603460425239,-0.50106943580113,3.35274566289891
"3",2019-05-15 02:00:00,1.10629268654904,-0.67101097441235,3.02795214258331
"4",2019-05-15 03:00:00,0.948512028184739,-0.820915695763021,2.80132803438
"5",2019-05-15 04:00:00,0.883685921488936,-0.966757114931349,2.70541228647412
"6",2019-05-15 05:00:00,0.852891246858452,-0.935381028951225,2.63834244577739
"7",2019-05-15 06:00:00,0.814697669615278,-1.11573433399877,2.55616764153016
"8",2019-05-15 07:00:00,0.819373222852446,-1.04085498465567,2.62421167951693
"9",2019-05-15 08:00:00,0.980067357017613,-0.73998709854986,2.83649010258102
"10",2019-05-15 09:00:00,1.35588061267605,-0.476725249814356,3.11469835112463
"11",2019-05-15 10:00:00,1.85965098628311,0.0881683205973836,3.83581358235614
"12",2019-05-15 11:00:00,2.29173902572085,0.407415639269574,4.04405316570898
"13",2019-05-15 12:00:00,2.48470749668469,0.495875862414119,4.42293069677982
"14",2019-05-15 13:00:00,2.43371718048157,0.586060442579131,4.33210010824999
"15",2019-05-15 14:00:00,2.2931930695665,0.490193189911613,4.17991876717882
"16",2019-05-15 15:00:00,2.2405743117319,0.292044030790897,4.02673142606768
"17",2019-05-15 16:00:00,2.32951477352387,0.452852188524713,4.08722898824461
"18",2019-05-15 17:00:00,2.46190876366392,0.775713904228033,4.39179771612009
"19",2019-05-15 18:00:00,2.49486578009696,0.607952641551971,4.30858649958513
"20",2019-05-15 19:00:00,2.37481154504717,0.509977013133995,4.29398952301166
"21",2019-05-15 20:00:00,2.17377891313967,0.368903183461938,3.89797574098472
"22",2019-05-15 21:00:00,2.00436707124576,0.124279583393326,3.79695604456637
"23",2019-05-15 22:00:00,1.90698718268203,0.0529683257133959,3.65106144183545
"24",2019-05-15 23:00:00,1.82197370528364,0.0625606116364528,3.70422381029708
"25",2019-05-16 00:00:00,1.66669588484512,-0.225535519110741,3.69489056731799
"26",2019-05-16 01:00:00,1.43108935390321,-0.359217350176745,3.39510156489088
"27",2019-05-16 02:00:00,1.191576694266,-0.716481709789343,3.15243852027587
"28",2019-05-16 03:00:00,1.03311702927264,-0.844847028939868,2.88306044286824
"29",2019-05-16 04:00:00,0.966742737997501,-0.797780300919761,2.94604728418177
"30",2019-05-16 05:00:00,0.933579654221847,-0.92752977879916,2.6858395668962
"31",2019-05-16 06:00:00,0.892255515970432,-1.07127836325979,2.71644742490442
"32",2019-05-16 07:00:00,0.8931046933797,-1.09759783787838,2.6555824663975
"33",2019-05-16 08:00:00,1.04935028705622,-0.72721014857842,2.88436976577968
"34",2019-05-16 09:00:00,1.42017276596747,-0.374194697491897,3.27876786237866
"35",2019-05-16 10:00:00,1.91849522839479,0.0781507624833968,3.74290336628515
"36",2019-05-16 11:00:00,2.34476733681057,0.457020546541687,3.99057942576517
"37",2019-05-16 12:00:00,2.5316437829847,0.730350962826236,4.44884201900502
"38",2019-05-16 13:00:00,2.47437885964446,0.541714940715549,4.26426698469385
"39",2019-05-16 14:00:00,2.32749142023962,0.463468539470417,4.26894968573184
"40",2019-05-16 15:00:00,2.26851359403045,0.382042774036813,4.11871131324471
"41",2019-05-16 16:00:00,2.35119014243512,0.476946391395242,4.2209299848938
"42",2019-05-16 17:00:00,2.47750301300818,0.650150857014693,4.36431695389938
"43",2019-05-16 18:00:00,2.50464496928815,0.689087015948949,4.38848641444221
"44",2019-05-16 19:00:00,2.37911957505999,0.434442698962969,4.2198501346625
"45",2019-05-16 20:00:00,2.17303113127013,0.303459505420114,4.06453684122611
"46",2019-05-16 21:00:00,1.99904299638743,0.180024973340773,3.78851908921664
"47",2019-05-16 22:00:00,1.8976224537085,0.100683809986844,3.63477679738582
"48",2019-05-16 23:00:00,1.80915136471675,0.0304946242706697,3.68521773621483
"49",2019-05-17 00:00:00,1.65103711805018,-0.219722439550189,3.55373593885857
"50",2019-05-17 01:00:00,1.41324381060917,-0.525845275399741,3.20713806143456
"51",2019-05-17 02:00:00,1.1722125239818,-0.655539855490665,2.99442972769292
"52",2019-05-17 03:00:00,1.01291076540662,-0.753566970123434,2.8570916955081
"53",2019-05-17 04:00:00,0.946369166849594,-0.826667938210786,2.7520586804484
"54",2019-05-17 05:00:00,0.91370180470267,-1.00032210706974,2.83070142864575
"55",2019-05-17 06:00:00,0.873514903709764,-1.11067547804869,2.81511536170504
"56",2019-05-17 07:00:00,0.876111949126992,-0.863690425676958,2.68282497345634
"57",2019-05-17 08:00:00,1.03467629370953,-0.973174268899416,2.93009409160816
"58",2019-05-17 09:00:00,1.40834042159211,-0.479483426664986,3.36884789850195
"59",2019-05-17 10:00:00,1.90997194366499,0.142034872479353,3.7791868936239
"60",2019-05-17 11:00:00,2.33995836571583,0.509758003082192,4.24932732785442
"61",2019-05-17 12:00:00,2.53088647416822,0.644157977311883,4.31958410563085
"62",2019-05-17 13:00:00,2.47793790310836,0.571635687874914,4.34659329688269
"63",2019-05-17 14:00:00,2.33555515134417,0.430399833441347,4.24961018547413
"64",2019-05-17 15:00:00,2.28119140210492,0.465256764544769,4.17707544750863
"65",2019-05-17 16:00:00,2.3685110169096,0.446815511006657,4.21058325801437
"66",2019-05-17 17:00:00,2.49941524457701,0.454085248577474,4.39011414411962
"67",2019-05-17 18:00:00,2.53101700845661,0.641701997308267,4.35494165696396
"68",2019-05-17 19:00:00,2.40974203496257,0.439012340370275,4.28279263755531
